Top pages,Clicks,Impressions,CTR,Position
https://www.example-florist.com/blogs/news/who-wears-a-boutonniere-in-a-wedding,1200,40000,3.00%,2.8
https://www.example-florist.com/blogs/news/the-5-most-romantic-flowers-and-their-stories,150,6000,2.50%,3.2
https://www.example-florist.com/blogs/news/10-eco-friendly-floral-ideas-for-sustainable-gifting,360,12000,3.00%,3.5
https://www.example-florist.com/blogs/news/what-flowers-should-i-order-for-a-funeral,285,9500,3.00%,4.0
https://www.example-florist.com/blogs/news/boxed-flower-arrangements-flower-care-tips,43,7500,0.57%,5.2
https://www.example-florist.com/blogs/news/the-ultimate-guide-to-choosing-flowers-for-any-occasion,170,9000,1.89%,3.8
https://www.example-florist.com/blogs/news/the-science-of-flowers-how-blooms-impact-your-mood-and-well-being,90,5000,1.80%,3.6
https://www.example-florist.com/blogs/news/fresh-start-flowers-to-brighten-your-new-year,80,6000,1.33%,5.0
https://www.example-florist.com/blogs/news/10-fall-flower-arrangement-ideas-for-2025,130,7000,1.86%,4.4
https://www.example-florist.com/blogs/news/a-guide-to-writing-heartfelt-valentines-day-card-messages,220,12000,1.83%,2.9
https://www.example-florist.com/blogs/news/how-to-make-your-floral-arrangements-last-longer,140,8000,1.75%,3.4
https://www.example-florist.com/blogs/news/what-do-pink-roses-really-say-symbolism-shades-occasions,95,7000,1.36%,3.1
https://www.example-florist.com/blogs/news/rosh-hashanah-flowers-symbolic-blooms-for-the-jewish-new-year,70,5000,1.40%,4.9
https://www.example-florist.com/blogs/news/desk-goals-why-petite-floral-arrangements-are-the-ultimate-decor-hack,55,4500,1.22%,4.2
https://www.example-florist.com/products/lillian,60,4000,1.50%,4.7
https://www.example-florist.com/products/rose-deluxe,45,3800,1.18%,4.9
https://www.example-florist.com/products/seasonal-white-bouquet,30,3000,1.00%,5.2
https://www.example-florist.com/pages/about,25,5000,0.50%,6.0
https://www.example-florist.com/collections/sympathy-flowers,90,9000,1.00%,5.5
https://www.example-florist.com/pages/wedding-flowers,85,8000,1.06%,5.4